연번,지역,운영기업명,주소
1,경기,현대자동차,경기도 의왕시 철도박물관로 37연구동 7층 (삼동) 현대자동차 H스타트업팀
2,서울,한솔교육,서울특별시 마포구 월드컵북로 361한솔교육빌딩 (상암동)
3,울산,한국동서발전,울산광역시 중구 종가로 395(성안동)
4,전남,한국전력공사,전라남도 나주시 전력로 55(빛가람동)한국전력공사
5,경기,LS전선,경기도 안양시 동안구 엘에스로 127LS전선 연구소(군포) (호계동)
6,서울,인바디,서울특별시 강남구 언주로 625인바디빌딩 (논현동)
7,서울,신한카드,서울특별시 중구 을지로 100파인애비뉴 A동 (을지로2가)
8,서울,휴넷,서울특별시 구로구 디지털로26길 5816호 휴넷 (구로동)
9,서울,롯데액셀러레이터,서울특별시 강남구 테헤란로69길 5유기타워 14층 (삼성동)
10,서울,이노션,서울특별시 강남구 강남대로 30823층 (역삼동)
11,경남,한국남동발전,경상남도 진주시 사들로123번길 32한국남동발전(주) (충무공동)
12,대전,한국철도공사,대전광역시 동구 중앙로 24017층 사업개발본부 (소제동)
13,서울,LG유플러스,서울특별시 용산구 한강대로 32LG유플러스빌딩 (한강로3가)
14,경북,한국도로공사,경상북도 김천시 혁신8로 77한국도로공사 (율곡동)
15,대구,한국감정원,대구광역시 동구 이노밸리로 291(신서동)
16,경기,휴맥스,경기도 성남시 분당구 황새울로 216휴맥스빌리지 (수내동)
17,대전,한국수자원공사,대전광역시 대덕구 신탄진로 200한국수자원공사 (연축동)
18,부산,한국남부발전,"부산광역시 남구 문현금융로 40부산국제금융센터 4층,30층~35층 한국남부발전(주) (문현동)"
19,서울,코스콤,서울특별시 영등포구 여의나루로 76(주)코스콤 (여의도동)
20,서울,대상주식회사,서울특별시 동대문구 천호대로 26대상빌딩 (신설동)
21,충남,한국중부발전,충청남도 보령시 보령북로 160한국중부발전 (대천동)
22,경기,SK하이닉스,경기도 이천시 부발읍 경충대로 2091SK하이닉스
23,서울,케이엘넷,서울특별시 강남구 역삼로 153케이엘넷빌딩 3층 (역삼동)
24,경기,(주)프론텍,경기도 시흥시 희망공원로 64610-2 (정왕동)
25,서울,엘지디스플레이,서울특별시 강서구 마곡중앙10로 30E2블록 (마곡동)
26,서울,(주)엘지씨엔에스,서울특별시 강서구 마곡중앙8로 71LG 사이언스파크 E13동 LG CNS (마곡동)
27,경기,(주)삼진엘앤디,경기도 화성시 동탄기흥로 64-17(주)삼진엘앤디 (방교동)
28,서울,위지윅스튜디오,서울특별시 강남구 언주로170길 20(신사동)
29,충남,한국서부발전,충청남도 태안군 태안읍 중앙로 285한국서부발전 본사
30,인천,(주)하나금융TI,인천광역시 서구 에코로 181하나금융티아이 (청라동)
31,경기,(주)코맥스,경기도 성남시 중원구 둔촌대로 494코맥스 (상대원동)
32,서울,엔라인,서울특별시 종로구 율곡로14길 314층 (충신동)
33,서울,SK텔레콤,서울특별시 중구 을지로 65SK T타워 29층 SCM그룹 (을지로2가)
34,경기,헬스투데이,경기도 용인시 처인구 모현읍 왕담로 145-19헬스투데이 사옥
35,서울,매스씨앤지,서울특별시 마포구 성암로 330dmc첨단산업센터 b동 4층 418호 (상암동)
36,경기,한국지역난방공사,경기도 성남시 분당구 분당로 368한국지역난방공사(본사) (분당동)
37,서울,한솔PNS(주),서울특별시 마포구 월드컵북로 396비즈니스타워 13층 (상암동)
38,경기,삼성전자(주),경기도 수원시 영통구 삼성로 129삼성전자 (매탄동)
39,서울,한국타이어(주),서울특별시 강남구 테헤란로 133한국타이어빌딩 (역삼동)
40,서울,보령메디앙스(주),서울특별시 종로구 창경궁로 13613-14층 (원남동)
42,충북,현대포리텍,충청북도 음성군 음성읍 신용로 56-20현대포리텍
43,부산,웅진개발(주),부산광역시 동구 중앙대로320번길 6웅진빌딩 (초량동)
44,전남,한전KDN(주),전라남도 나주시 빛가람로 661빛가람동 (빛가람동)
