번호,사업자명,대표,업종,지역,유효기간 만료일
1,(주) 에버트란,이청남,정보통신,서울 용산구,2020-03-02
2,(주)경성정기,신현기,기계금속,부산 강서구,2020-01-09
3,(주)고송이엔지,이홍재,기계금속,경기 화성시,2020-02-15
4,(주)광천원김,임백희,식품,충남 홍성군,2020-03-13
5,(주)그랜드침대,정경숙,기타,경기 파주시,2020-02-27
6,(주)그루기술,유희상,S/W,서울 성동구,2020-01-16
7,(주)길원테크,이희찬,건설,충북 청주시,2020-02-21
8,(주)남경,조성래,기계금속,경북 고령군,2020-02-01
9,(주)네비팜,이창규,바이오,경기 수원시,2020-01-30
10,(주)노블바이오,백계승,바이오,경기 화성시,2020-03-22
11,(주)다린,박상봉,환경,대전 유성구,2020-02-16
12,(주)다우스틸,박래원,기타,경북 경주시,2020-01-09
13,(주)다음앤큐큐,이우홍,섬유,서울 영등포구,2020-01-04
14,(주)다이프로,김명중,기타,경기 수원시,2020-03-27
15,(주)대림테크,이대겸,기계금속,경남 창원시,2020-03-22
16,(주)대영케이블,김동암,전기전자,경기 김포시,2020-02-06
17,(주)대종에프에이,이석헌,기계금속,경기 시흥시,2020-03-29
18,(주)대흥앤멘토코리아,허정일,기계금속,경기 김포시,2020-01-24
19,(주)더다함커뮤니케이션즈,윤석영추경아,서비스,서울 서초구,2020-03-19
20,(주)더블웨이브,이현구,기타,경기 성남시,2020-03-29
21,(주)더헤르첸,이기수,기타,서울 영등포구,2020-01-17
22,(주)덕유,김영자,기계금속,전남 장성군,2020-03-20
23,(주)도남알루메탈,김정근,기계금속,경남 김해시,2020-01-24
24,(주)동남기술단,홍말윤,건설,부산 수영구,2020-01-15
25,(주)동양환기,이영희,기타,경기 화성시,2020-01-30
26,(주)동지하이텍,김영국,전기전자,경기 양주시,2020-01-24
27,(주)디자인유스,현하철,서비스,제주 제주시,2020-01-16
28,(주)리파워텍,류영준,전기전자,경기 부천시,2020-03-07
29,(주)리플로맥스,김현대,화학,경기 화성시,2020-01-24
30,(주)마상소프트,강삼석,S/W,부산 해운대구,2020-01-22
31,(주)만경,권혁만,섬유,강원 춘천시,2020-01-18
32,(주)맥슨모터매뉴팩처링,"설호철,설윤형",전기전자,충남 천안시,2020-03-05
33,(주)맵시전자,신기문,전기전자,울산 울주군,2020-01-08
34,(주)명아스틸,노경문,기타,대구 달서구,2020-03-23
35,(주)미래세라텍,김성현,화학,경북 포항시,2020-02-16
36,(주)미래화학,정영철,화학,충북 진천군,2020-01-24
37,(주)민텍,"김일준,유진선",건설,부산 해운대구,2020-01-16
38,(주)바이오액츠,나종주,바이오,인천 남동구,2020-02-15
39,(주)본시스,이언주,전기전자,충북 청주시,2020-01-15
40,(주)부보시스템즈,서대중,정보통신,서울 금천구,2020-02-16
41,(주)비엔컴,김성곤,전기전자,경기 군포시,2020-02-06
42,(주)비코,박형섭,서비스,서울 마포구,2020-03-14
43,(주)사랑과선행,이강민,서비스,경기 성남시,2020-03-07
44,(주)삼성푸드,이진우,식품,대구 달서구,2020-02-22
45,(주)삼아테크노솔루션,한승우,전기전자,서울 강서구,2020-01-12
46,(주)삼영유니텍,정경일,기계금속,대전 유성구,2020-01-08
47,(주)삼영테크놀로지,오형남,기계금속,경기 김포시,2020-02-27
48,(주)삼화플라스틱,조성환,기타,경기 의왕시,2020-01-18
49,(주)상영,황영진,기타,경기 남양주시,2020-03-20
50,(주)선일이엔지,박재홍,기타,경기 화성시,2020-03-27
51,(주)성우엔비테크,양철,기타,강원 횡성군,2020-02-16
52,(주)성진엠케이,정완석,전기전자,경기 안성시,2020-01-24
53,(주)세양에이치앤에스,박희수,기계금속,경기 시흥시,2020-01-24
54,(주)세웅,김종규,기계금속,전북 남원시,2020-01-24
55,(주)세이프코리아,노상언,바이오,경기 이천시,2020-03-14
56,(주)스마트골프,"박정열, 박지형",전기전자,경기 하남시,2020-03-22
57,(주)시큐어스,김선욱,S/W,서울 서초구,2020-01-09
58,(주)신기그룹,라제훈,전기전자,서울 영등포구,2020-02-01
59,(주)신디프,이희순,화학,경북 경주시,2020-01-05
60,(주)신세대푸드,김성태,식품,경기 김포시,2020-02-27
61,(주)신화기술,김재근,기타,경기 화성시,2020-01-18
62,(주)쓰리디엔지니어링,김석구,서비스,서울 성동구,2020-02-27
63,(주)씨제이프로텍,이외규,기계금속,울산 북구,2020-02-01
64,(주)아라움,김미선,식품,전남 여수시,2020-03-08
65,(주)아세아 에프에이,이금영,기계금속,인천 부평구,2020-01-11
66,(주)아이엠,최동수,전기전자,전북 완주군,2020-02-20
67,(주)알포메,임동철,화학,충북 음성군,2020-02-19
68,(주)애드위너,조양래,화학,울산 중구,2020-01-11
69,(주)에브릿,이영환,식품,대전 대덕구,2020-02-20
70,(주)에이엔디코리아,이호,전기전자,서울 금천구,2020-01-22
71,(주)에이엠케이,장남철,기계금속,인천 연수구,2020-03-30
72,(주)에이플러스,유병완,기계금속,경기 안산시,2020-01-11
73,(주)에코메이텍,박철균,S/W,서울 금천구,2020-03-29
74,(주)엔씨비,김두진,S/W,경기 부천시,2020-02-22
75,(주)엔조이소프트,조승훈,S/W,경기 성남시,2020-03-22
76,(주)영남메탈,김상열,기계금속,경남 김해시,2020-02-08
77,(주)영일,이근홍,화학,부산 사하구,2020-01-04
78,(주)영화조세통람,서동혁,기타,서울 중구,2020-01-25
79,(주)예다종합설계감리사무소,이윤상,서비스,서울 영등포구,2020-03-28
80,(주)예스씨앤씨,김특훈,정보통신,서울 성동구,2020-02-08
81,(주)오엠씨,황경칠,기타,경기 화성시,2020-02-15
82,(주)옥련건설,김정옥,건설,인천 연수구,2020-03-27
83,(주)완일이씨에스,김경창,건설,서울 강서구,2020-01-24
84,(주)우림엔지니어링,변동섭,기계금속,충북 청주시,2020-03-01
85,(주)우성초음파,조경근,전기전자,경기 화성시,2020-01-16
86,(주)원택,성점희,기타,부산 해운대구,2020-02-22
87,(주)웨어밸리,손삼수,S/W,서울 마포구,2020-02-15
88,(주)웨이브아이앤씨,이동찬,섬유,서울 강남구,2020-03-21
89,(주)유진솔루션,이훈희,정보통신,서울 강서구,2020-03-07
90,(주)유케이비,김진만,전기전자,경기 안양시,2020-01-01
91,(주)이연에프엔씨,정보연,식품,서울 강남구,2020-02-14
92,(주)이인벤션,김은현,기타,서울 구로구,2020-01-16
93,(주)이지트래픽,한승춘,S/W,경기 안양시,2020-03-20
94,(주)이터샘이엔지,이재훈,기타,서울 서초구,2020-03-21
95,(주)인더스웰,이문숙,서비스,서울 강남구,2020-02-16
96,(주)인텔리코리아,박승훈,S/W,서울 금천구,2020-03-02
97,(주)일이축산푸드,유상이,바이오,부산 기장군,2020-01-05
98,(주)자커,정재근,기계금속,경기 하남시,2020-03-20
99,(주)점보산업,박세일,기타,전남 장성군,2020-01-01
100,(주)제국전기,배재국,전기전자,울산 북구,2020-01-22
101,(주)제이더블유푸드,박세근,식품,경북 구미시,2020-02-22
102,(주)제이쓰리,이경환,기타,충남 천안시,2020-01-31
103,(주)제이에이치테크놀러지,조영만,기계금속,경북 칠곡군,2020-01-09
104,(주)젠한국,김용태,기타,충북 청주시,2020-03-01
105,(주)지가캡,지희관,섬유,서울 동대문구,2020-01-17
106,(주)지앤시바이오,김해정,바이오,대전 유성구,2020-03-05
107,(주)지에이엠,최진열,기계금속,경기 화성시,2020-02-13
108,(주)진선테크,홍천석,전기전자,충남 천안시,2020-02-20
109,(주)진성케미텍,홍병준,정보통신,충남 아산시,2020-01-04
110,(주)진웅산업,이정일,화학,경기 양주시,2020-01-09
111,(주)진푸드시스템,박재식,식품,경기 포천시,2020-01-11
112,(주)천문,장경근,기계금속,경기 화성시,2020-01-04
113,(주)컴팩트디,김환중,기타,서울 강남구,2020-03-07
114,(주)케어스워터,황영미,전기전자,경기 김포시,2020-02-20
115,(주)케이닷컴,김연호,정보통신,대전 서구,2020-01-02
116,(주)케이씨엘피,최기호,기계금속,광주 북구,2020-01-24
117,(주)케이앤씨,정택동,건설,경기 부천시,2020-01-09
118,(주)케이엠에프,정용진,식품,대구 동구,2020-01-18
119,(주)케이팩,강석원,화학,충북 제천시,2020-01-24
120,(주)케이피모바일,김길수,S/W,경기 고양시,2020-02-27
121,(주)코뉴,권혁우,기타,경기 수원시,2020-03-14
122,(주)코윈에프에이,공병민,전기전자,인천 부평구,2020-02-15
123,(주)탑아이엔디,정호순,기계금속,울산 울주군,2020-03-14
124,(주)태선하이텍,편태일,전기전자,경남 김해시,2020-01-25
125,(주)태영기계공업,홍기학,기계금속,경기 화성시,2020-01-11
126,(주)토리다,정장기,섬유,서울 송파구,2020-02-05
127,(주)티에스테크,황병득,기타,경남 창원시,2020-02-20
128,(주)티에스티,김재형,기계금속,대전 유성구,2020-03-19
129,(주)티엔푸드,강선구,식품,경기 고양시,2020-01-01
130,(주)티엠씨,김이태,전기전자,광주 북구,2020-01-17
131,(주)티제이텍,"김주탁, 전봉자",전기전자,경기 군포시,2020-01-24
132,(주)파이로,한희순,기타,경기 용인시,2020-01-16
133,(주)파이프텍코리아,박영서,건설,충북 충주시,2020-03-01
134,(주)페타정보기술,안제영,정보통신,서울 금천구,2020-03-08
135,(주)푸드코리아,김형철,식품,경기 평택시,2020-03-29
136,(주)프라임광학,곽병두,기타,대구 달서구,2020-03-30
137,(주)프리텍,정영철,기타,충북 진천군,2020-03-07
138,(주)피씨아이,전홍섭,기계금속,경기 화성시,2020-02-15
139,(주)피플앤,이대봉,정보통신,서울 금천구,2020-03-07
140,(주)하나웰텍,정재우,기계금속,경기 김포시,2020-03-05
141,(주)하시스,황영호,정보통신,경기 성남시,2020-03-29
142,(주)한국다이퍼,이대윤,섬유,서울 서초구,2020-02-21
143,(주)한국정보공학디엔에스,윤문환,정보통신,경기 성남시,2020-03-05
144,(주)한동아스콘,천기화,기타,경북 포항시,2020-01-05
145,(주)한라산,"현재웅, 현승탁",식품,제주 제주시,2020-02-13
146,(주)한려엔쵸비,이상규,식품,부산 사하구,2020-03-20
147,(주)한양알루텍,최성수,기계금속,충남 당진시,2020-02-16
148,(주)해동엔지니어링,이완형,기타,경북 포항시,2020-01-05
149,(주)해성오토모티브,박문석,기타,경기 화성시,2020-03-22
150,(주)향토유전자원연구소,피재호,바이오,경기 용인시,2020-01-01
151,(주)헤세드코리아,김선정,섬유,경기 하남시,2020-01-30
152,(주)현대유리,조인묵,화학,충남 부여군,2020-01-24
153,(주)휴먼시스템,진정창,S/W,충북 청주시,2020-01-19
154,가피아,박현기,S/W,경기 수원시,2020-02-13
155,건솔루션(주),김삼성,서비스,경기 안양시,2020-01-30
156,굿셀(goodsell),손완규,기타,경북 성주군,2020-02-22
157,나노프레스주식회사,강영성,기계금속,경기 안산시,2020-01-16
158,넥스젠엔씨지(주),나정희,S/W,서울 종로구,2020-01-08
159,농업회사법인(주)밀속사랑,조규연,식품,충남 금산군,2020-01-24
160,농업회사법인(주)생생초,권승혁,식품,경북 청도군,2020-01-02
161,농업회사법인(주)웰츄럴,김영환,식품,경북 안동시,2020-03-07
162,농업회사법인유한회사부일산업,고영선,화학,전남 영암군,2020-03-16
163,닥터스킨,박진남,바이오,부산 북구,2020-02-15
164,대경무선통신,박진효,정보통신,경남 진주시,2020-03-13
165,대경이앤씨(주),이기선,기계금속,울산 남구,2020-01-08
166,대광아이앤디(주),오경섭,기계금속,경기 양주시,2020-03-14
167,대상이앤씨(주),김용곤,건설,강원 원주시,2020-03-01
168,대양테크,강창대외1명,기계금속,경북 칠곡군,2020-02-12
169,대양프라스틱,박태종,기타,충남 천안시,2020-02-14
170,대우공업(주),"오우영,오돈영",기타,충남 당진시,2020-02-16
171,더부철강산업(주),장미선,기계금속,경기 화성시,2020-03-20
172,동남물산,김미순,기타,경기 김포시,2020-01-16
173,동아피엠(주),박병후,S/W,서울 마포구,2020-03-19
174,동양산업엔지니어링,박성용외1명,기계금속,경남 양산시,2020-03-26
175,두성산업(주),천영우,전기전자,경남 창원시,2020-02-21
176,디에스트레이딩,고명섭,섬유,서울 중랑구,2020-03-27
177,로얄초경,유영남,기계금속,인천 남동구,2020-03-27
178,리나스대성(주),임남수,기계금속,경기 남양주시,2020-01-01
179,마스터테크,방호근,기계금속,경기 남양주시,2020-01-30
180,모루기술 주식회사,"김혜진,서종철",전기전자,대전 유성구,2020-01-22
181,모아시스(주),김종수,정보통신,서울 서초구,2020-03-01
182,모트렉스주식회사,이형환,기타,서울 영등포구,2020-03-27
183,무지개솔텍,김용운,기타,충남 천안시,2020-02-16
184,바이원,배석일,바이오,경기 동두천시,2020-01-09
