번호,사업자명,대표,업종,지역,유효기간 만료일,홈페이지
1,에이플러스폴리머(주),안상은,도매및소매업,경기 안양시,2017-03-31,
2,(주)퓨전소프트,황인수,지식서비스,대구 동구,2017-03-31,
3,(주)대성엠티,박찬성,제조업,경기 김포시,2017-03-31,
4,(주)섬영텍스타일,노현,제조업,대구 북구,2017-03-31,
5,디와이이엔지(주),박영호,제조업,경북 칠곡군,2017-03-31,
6,(주)고바우푸드,박영진,제조업,강원 속초시,2017-03-31,
7,(주)세민기공,오세열,건설업,경기 용인시,2017-03-31,
8,(주)그린엔텍,박정수,도매및소매업,부산 연제구,2017-03-31,
9,주식회사 엠더블유티,이승헌,도매및소매업,대구 수성구,2017-03-31,
10,용호건설주식회사,배춘식,건설업,경북 안동시,2017-03-31,
11,(주)다나케미칼,김진무,도매및소매업,경기 양주시,2017-03-31,
12,주식회사 포에스,김인숙,일반서비스업,경기 평택시,2017-03-31,
13,세영종합건설(주),안영모,건설업,경북 안동시,2017-03-31,
14,영덕식품(주),서혜영,제조업,경북 영덕군,2017-03-31,
15,(주)금강축산유통,안성,제조업,제주 제주시,2017-03-31,
16,해밀지앤지,이인귀,제조업,경기 화성시,2017-04-01,
17,(주)폴리원테크놀로지,이종섭,제조업,경기 화성시,2017-04-01,
18,(주)트레바이오,이종훈,도소매업,경기 성남시,2017-04-01,
19,(주)아이엠티인코퍼레이션,정의용,사업서비스업,부산 해운대구,2017-04-01,
20,(주)솔연,이승진,제조업,경기 이천시,2017-04-01,
21,한성중전기기공업(주),김진락,제조업,경기 이천시,2017-04-01,
22,풍성스틸주식회사,윤태엽,제조업,경기 김포시,2017-04-01,
23,티엘씨코리아,김범식,도소매업,경기 광주시,2017-04-01,
24,로지포커스주식회사,신상우,일반서비스업,경기 남양주시,2017-04-01,
25,(주)한얼유통,고선영,도매및소매업,경기 광명시,2017-04-01,
26,유성일렉트로닉스(주),노종상,제조업,경기 화성시,2017-04-01,
27,주식회사 천마,김학년,도매및소매업,제주 제주시,2017-04-01,
28,(주)모듈트레이테크널러지,김태섭,제조업,경기 이천시,2017-04-01,
29,광암철강(주),임완택,도매및소매업,광주 북구,2017-04-02,
30,대경스틸(주),이병익,도매및소매업,광주 광산구,2017-04-02,
31,삼손씨푸드,손경식,도매및소매업,부산 서구,2017-04-02,
32,(주)가온에프에스,박민준,제조업,전남 장성군,2017-04-02,
33,(유) 대구특수금속,이상태,제조업,대구 달성군,2017-04-03,
34,(주)테라팜,홍성관,도매및소매업,대전 동구,2017-04-03,
35,신제천주유소,정순주,도매및소매업,충북 제천시,2017-04-03,
36,(주)레가시피앤에스,이권,제조업,충북 제천시,2017-04-03,
37,(주)쿠기인터내셔날,유광근,제조업,서울 마포구,2017-04-03,
38,(주)웨딩의전당,하숙이,기타,경남 창원시,2017-04-03,
39,(주)모든오피스,정의진,도매및소매업,서울 강남구,2017-04-03,
40,(주)상지피앤아이,이창래,제조업,서울 중구,2017-04-03,
41,(주)앤씨아이,박영균,제조업,경남 김해시,2017-04-03,
42,일오삼스틸(주),정창운,제조업,경남 밀양시,2017-04-03,
43,미래정보주식회사,장성기,도매및소매업,충북 제천시,2017-04-03,
44,(주)엔에스트레이딩,김명곤,도매및소매업,경남 김해시,2017-04-03,
45,(주)선운,박광천,도소매업,경기 광주시,2017-04-04,
